ROI
Plot id;Application date;Payment date;expiry_date;Right type;term_of_right;Payment amount;Payment status;Roi certificate;Service need;Roi holder 1;Contact number;Contact address;Postal address;Email;Roi holder 2';Contact number 2;Contact address 2;Postal address 2;Email 2;Roi holder 3';Contact number 3;Contact address 3;Postal address 3;Email 3;Plot status;astana_tegal_gundul_place_of_birth;astana_tegal_gundul_place_of_death;Place of Birth;Place of Death
A D 1;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
B C 1;12/01/2023;12/01/2023;12/01/2048;;25;1000;Paid;890089;;;;;;;;;;;;;;;;;Reserved;;
B D 1;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;For Sale;;
B D 2;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;For Sale;;
B D 3;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;For Sale;;
B F 1;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;For Sale;;
B F 5;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;For Sale;;
B G 1;;;;Burial;;;Unpaid;;;Martha Taylor;;;;;;;;;;;;;;;Reserved;;
B G 11;;;;;25;;Unpaid;;;Martha Taylor;;;;;;;;;;;;;;;Reserved;;
B G 12;;;;Burial;;;Unpaid;;;Alma Matter;;;;;;;;;;;;;;;Reserved;;
B G 13;;;;;;;Unpaid;;;Salma Matter;;;;;;;;;;;;;;;Reserved;;
B E 3;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;For Sale;;
A C 127;01/05/2023;;;Burial;0;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;Bali;Around Bali
A C 2;27/10/2022;27/10/2022;27/10/2072;;50;100;Paid;;Pre-need;Keith Urban;;;;;;;;;;;;;;;For Sale;;
A C 10;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
A B 1;;;;Burial;0;;Unpaid;;;John Due;;;;;Mick Dohan;;;;;;;;;;Reserved;;
A B 2;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
A B 3;;;;Burial;0;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
A B 4;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
A B 5;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;For Sale;;
A B 6;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
A B 7;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;For Sale;;
A B 9;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
A B 10;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
A B 11;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Unavailable;;
A B 12;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
A B 13;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
A A 1;25/12/2011;25/12/2011;;Burial;0;2000;Paid;216;Pre-need;Andry Sheva;;;;;;;;;;;;;;;Occupied;;
A A 2;;;;Burial;;;Unpaid;;;Andry Sheva;;;;;;;;;;;;;;;Occupied;;
A A 3;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;For Sale;;
A A 4;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Unavailable;;
A E 1;;;;;;;Unpaid;;;John McKenzie;;;;;;;;;;;;;;;Reserved;;
A E 2;;;;;;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
A F 1;;;;Burial;;;Unpaid;;;;;;;;;;;;;;;;;;Occupied;;
A F 3;;;;Burial;25;;Unpaid;;;;;;;;;;;;;;;;;;Reserved;;
A G 1;;;;Burial;50;;Unpaid;;;;;;;;;;;;;;;;;;Reserved;;
A G 2;;;;;;;Unpaid;;;Simon Grant;;;;;;;;;;;;;;;Reserved;;
A G 3;;;;Burial;;;Unpaid;;;John Sam;;;;;;;;;;;;;;;Reserved;;
 
